Date : 2023-03-22 16:50:31
Directory : g:\Project\VsCode_project\Smooth
Total : 1985 files,  453018 codes, 70681 comments, 60085 blanks, all 583784 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| engine\3rdparty\glm\test                                                                                                                         |        203 |     21,317 |        846 |      5,957 |     28,120 |
| engine\3rdparty\glm\test\bug                                                                                                                     |          1 |         23 |          2 |          7 |         32 |
| engine\3rdparty\glm\test\cmake                                                                                                                   |          1 |         19 |          0 |          4 |         23 |
| engine\3rdparty\glm\test\core                                                                                                                    |         55 |      8,977 |        297 |      2,331 |     11,605 |
| engine\3rdparty\glm\test\ext                                                                                                                     |         55 |      3,771 |          8 |      1,139 |      4,918 |
| engine\3rdparty\glm\test\gtc                                                                                                                     |         21 |      4,342 |        220 |      1,161 |      5,723 |
| engine\3rdparty\glm\test\gtx                                                                                                                     |         64 |      3,504 |        319 |      1,075 |      4,898 |
| engine\3rdparty\glm\test\perf                                                                                                                    |          6 |        681 |          0 |        240 |        921 |
| engine\3rdparty\imgui                                                                                                                            |        128 |     62,153 |     17,294 |      9,511 |     88,958 |
| engine\3rdparty\imgui (Files)                                                                                                                    |         11 |     41,752 |      9,491 |      5,952 |     57,195 |
| engine\3rdparty\imgui\backends                                                                                                                   |         36 |     10,475 |      2,086 |      1,527 |     14,088 |
| engine\3rdparty\imgui\backends (Files)                                                                                                           |         35 |     10,473 |      2,082 |      1,526 |     14,081 |
| engine\3rdparty\imgui\backends\vulkan                                                                                                            |          1 |          2 |          4 |          1 |          7 |
| engine\3rdparty\imgui\docs                                                                                                                       |          5 |      1,270 |          0 |        437 |      1,707 |
| engine\3rdparty\imgui\examples                                                                                                                   |         69 |      7,712 |      5,493 |      1,389 |     14,594 |
| engine\3rdparty\imgui\examples\example_allegro5                                                                                                  |          4 |        291 |         49 |         36 |        376 |
| engine\3rdparty\imgui\examples\example_android_opengl3                                                                                           |          5 |        309 |         66 |         82 |        457 |
| engine\3rdparty\imgui\examples\example_android_opengl3 (Files)                                                                                   |          1 |        236 |         66 |         68 |        370 |
| engine\3rdparty\imgui\examples\example_android_opengl3\android                                                                                   |          4 |         73 |          0 |         14 |         87 |
| engine\3rdparty\imgui\examples\example_android_opengl3\android (Files)                                                                           |          2 |         21 |          0 |          6 |         27 |
| engine\3rdparty\imgui\examples\example_android_opengl3\android\app                                                                               |          2 |         52 |          0 |          8 |         60 |
| engine\3rdparty\imgui\examples\example_android_opengl3\android\app (Files)                                                                       |          1 |         31 |          0 |          4 |         35 |
| engine\3rdparty\imgui\examples\example_android_opengl3\android\app\src                                                                           |          1 |         21 |          0 |          4 |         25 |
| engine\3rdparty\imgui\examples\example_android_opengl3\android\app\src\main                                                                      |          1 |         21 |          0 |          4 |         25 |
| engine\3rdparty\imgui\examples\example_apple_metal                                                                                               |          4 |        346 |         52 |         79 |        477 |
| engine\3rdparty\imgui\examples\example_apple_metal (Files)                                                                                       |          2 |        228 |         50 |         77 |        355 |
| engine\3rdparty\imgui\examples\example_apple_metal\iOS                                                                                           |          1 |         26 |          1 |          1 |         28 |
| engine\3rdparty\imgui\examples\example_apple_metal\macOS                                                                                         |          1 |         92 |          1 |          1 |         94 |
| engine\3rdparty\imgui\examples\example_apple_opengl2                                                                                             |          1 |        171 |         47 |         54 |        272 |
| engine\3rdparty\imgui\examples\example_emscripten_opengl3                                                                                        |          3 |        181 |         50 |         37 |        268 |
| engine\3rdparty\imgui\examples\example_emscripten_wgpu                                                                                           |          2 |        173 |         45 |         53 |        271 |
| engine\3rdparty\imgui\examples\example_glfw_metal                                                                                                |          1 |        101 |         39 |         33 |        173 |
| engine\3rdparty\imgui\examples\example_glfw_opengl2                                                                                              |          3 |        286 |         56 |         30 |        372 |
| engine\3rdparty\imgui\examples\example_glfw_opengl3                                                                                              |          3 |        303 |         54 |         31 |        388 |
| engine\3rdparty\imgui\examples\example_glfw_vulkan                                                                                               |          4 |        626 |         83 |         82 |        791 |
| engine\3rdparty\imgui\examples\example_glut_opengl2                                                                                              |          2 |        262 |         48 |         28 |        338 |
| engine\3rdparty\imgui\examples\example_null                                                                                                      |          2 |         29 |          5 |          8 |         42 |
| engine\3rdparty\imgui\examples\example_sdl_directx11                                                                                             |          3 |        350 |         54 |         37 |        441 |
| engine\3rdparty\imgui\examples\example_sdl_metal                                                                                                 |          1 |        110 |         41 |         31 |        182 |
| engine\3rdparty\imgui\examples\example_sdl_opengl2                                                                                               |          4 |        313 |         52 |         38 |        403 |
| engine\3rdparty\imgui\examples\example_sdl_opengl3                                                                                               |          4 |        335 |         52 |         39 |        426 |
| engine\3rdparty\imgui\examples\example_sdl_sdlrenderer                                                                                           |          4 |        293 |         50 |         35 |        378 |
| engine\3rdparty\imgui\examples\example_sdl_vulkan                                                                                                |          3 |        619 |         80 |         75 |        774 |
| engine\3rdparty\imgui\examples\example_win32_directx10                                                                                           |          3 |        350 |         52 |         40 |        442 |
| engine\3rdparty\imgui\examples\example_win32_directx11                                                                                           |          3 |        362 |         60 |         42 |        464 |
| engine\3rdparty\imgui\examples\example_win32_directx12                                                                                           |          3 |        533 |         60 |         73 |        666 |
| engine\3rdparty\imgui\examples\example_win32_directx9                                                                                            |          3 |        355 |         54 |         41 |        450 |
| engine\3rdparty\imgui\examples\libs                                                                                                              |          4 |      1,014 |      4,344 |        385 |      5,743 |
| engine\3rdparty\imgui\examples\libs\glfw                                                                                                         |          2 |        552 |      3,913 |        220 |      4,685 |
| engine\3rdparty\imgui\examples\libs\glfw\include                                                                                                 |          2 |        552 |      3,913 |        220 |      4,685 |
| engine\3rdparty\imgui\examples\libs\glfw\include\GLFW                                                                                            |          2 |        552 |      3,913 |        220 |      4,685 |
| engine\3rdparty\imgui\examples\libs\usynergy                                                                                                     |          2 |        462 |        431 |        165 |      1,058 |
| engine\3rdparty\imgui\misc                                                                                                                       |          7 |        944 |        224 |        206 |      1,374 |
| engine\3rdparty\imgui\misc\cpp                                                                                                                   |          2 |         63 |         19 |         18 |        100 |
| engine\3rdparty\imgui\misc\fonts                                                                                                                 |          1 |        280 |         43 |         63 |        386 |
| engine\3rdparty\imgui\misc\freetype                                                                                                              |          3 |        593 |        154 |        122 |        869 |
| engine\3rdparty\imgui\misc\single_file                                                                                                           |          1 |          8 |          8 |          3 |         19 |
| engine\3rdparty\stb                                                                                                                              |         92 |     70,066 |     12,729 |     10,066 |     92,861 |
| engine\3rdparty\stb (Files)                                                                                                                      |         22 |     29,484 |      8,652 |      4,674 |     42,810 |
| engine\3rdparty\stb\deprecated                                                                                                                   |          5 |     14,150 |      2,772 |      2,218 |     19,140 |
| engine\3rdparty\stb\docs                                                                                                                         |          3 |        242 |          0 |         51 |        293 |
| engine\3rdparty\stb\tests                                                                                                                        |         54 |     25,079 |      1,236 |      2,945 |     29,260 |
| engine\3rdparty\stb\tests (Files)                                                                                                                |         35 |      6,831 |        313 |      1,084 |      8,228 |
| engine\3rdparty\stb\tests\caveview                                                                                                               |         12 |     14,274 |        549 |      1,242 |     16,065 |
| engine\3rdparty\stb\tests\oversample                                                                                                             |          3 |      1,041 |         38 |        179 |      1,258 |
| engine\3rdparty\stb\tests\pg_test                                                                                                                |          1 |        106 |          1 |         18 |        125 |
| engine\3rdparty\stb\tests\prerelease                                                                                                             |          1 |      2,597 |        324 |        385 |      3,306 |
| engine\3rdparty\stb\tests\sdf                                                                                                                    |          1 |        124 |         10 |         19 |        153 |
| engine\3rdparty\stb\tests\vorbseek                                                                                                               |          1 |        106 |          1 |         18 |        125 |
| engine\3rdparty\stb\tools                                                                                                                        |          8 |      1,111 |         69 |        178 |      1,358 |
| engine\3rdparty\tinyobjloader                                                                                                                    |         66 |     20,054 |      5,825 |      4,136 |     30,015 |
| engine\3rdparty\tinyobjloader (Files)                                                                                                            |         10 |      3,210 |        565 |        722 |      4,497 |
| engine\3rdparty\tinyobjloader\.github                                                                                                            |          2 |         23 |          0 |          8 |         31 |
| engine\3rdparty\tinyobjloader\.github\ISSUE_TEMPLATE                                                                                             |          2 |         23 |          0 |          8 |         31 |
| engine\3rdparty\tinyobjloader\deps                                                                                                               |          1 |      2,979 |      2,673 |        672 |      6,324 |
| engine\3rdparty\tinyobjloader\examples                                                                                                           |         19 |      7,948 |      1,639 |      1,350 |     10,937 |
| engine\3rdparty\tinyobjloader\examples\callback_api                                                                                              |          2 |        126 |         18 |         31 |        175 |
| engine\3rdparty\tinyobjloader\examples\obj_sticher                                                                                               |          4 |        280 |         35 |         62 |        377 |
| engine\3rdparty\tinyobjloader\examples\skin_weight                                                                                               |          3 |         82 |          4 |         29 |        115 |
| engine\3rdparty\tinyobjloader\examples\viewer                                                                                                    |          6 |      6,808 |      1,530 |      1,082 |      9,420 |
| engine\3rdparty\tinyobjloader\examples\voxelize                                                                                                  |          4 |        652 |         52 |        146 |        850 |
| engine\3rdparty\tinyobjloader\experimental                                                                                                       |         11 |      2,252 |        544 |        524 |      3,320 |
| engine\3rdparty\tinyobjloader\experimental (Files)                                                                                               |          6 |      1,977 |        533 |        453 |      2,963 |
| engine\3rdparty\tinyobjloader\experimental\lfpAlloc                                                                                              |          5 |        275 |         11 |         71 |        357 |
| engine\3rdparty\tinyobjloader\fuzzer                                                                                                             |          5 |         81 |          0 |         34 |        115 |
| engine\3rdparty\tinyobjloader\fuzzer (Files)                                                                                                     |          3 |         72 |          0 |         28 |        100 |
| engine\3rdparty\tinyobjloader\fuzzer\regression_runner                                                                                           |          2 |          9 |          0 |          6 |         15 |
| engine\3rdparty\tinyobjloader\jni                                                                                                                |          3 |         10 |          2 |          7 |         19 |
| engine\3rdparty\tinyobjloader\mapbox                                                                                                             |          1 |        608 |         66 |        147 |        821 |
| engine\3rdparty\tinyobjloader\python                                                                                                             |          6 |        304 |         84 |         96 |        484 |
| engine\3rdparty\tinyobjloader\tests                                                                                                              |          8 |      2,639 |        252 |        576 |      3,467 |
| engine\source                                                                                                                                    |         34 |      1,083 |         66 |        247 |      1,396 |
| engine\source\editor                                                                                                                             |          8 |        204 |          0 |         50 |        254 |
| engine\source\editor\include                                                                                                                     |          4 |         82 |          0 |         24 |        106 |
| engine\source\editor\source                                                                                                                      |          4 |        122 |          0 |         26 |        148 |
